Date,Open,High,Low,Close,Volume
2015/5/11 下午 4:00:00,211.57,211.89,210.52,210.61,75708065
2015/5/12 下午 4:00:00,209.61,210.63,208.62,209.98,119727592
2015/5/13 下午 4:00:00,210.47,211.22,209.74,210.02,94667943
2015/5/14 下午 4:00:00,211.24,212.32,210.91,212.21,95934006
2015/5/15 下午 4:00:00,212.44,212.61,211.86,212.44,76510099
2015/5/18 下午 4:00:00,212.24,213.4,212.16,213.1,74549685
2015/5/19 下午 4:00:00,213.24,213.57,212.69,213.03,72114610
2015/5/20 下午 4:00:00,213.15,213.78,212.5,212.88,76857530
2015/5/21 下午 4:00:00,212.71,213.75,212.51,213.5,64764585
2015/5/22 下午 4:00:00,213.04,213.54,212.91,212.99,57433495
2015/5/26 下午 4:00:00,212.4,212.91,210.2,210.7,124308584
2015/5/27 下午 4:00:00,211.25,212.98,210.76,212.7,93213981
2015/5/28 下午 4:00:00,212.33,212.59,211.63,212.46,74974560
2015/5/29 下午 4:00:00,212.38,212.43,210.82,211.14,124919611
2015/6/1 下午 4:00:00,211.94,212.34,210.62,211.57,93338750
2015/6/2 下午 4:00:00,211.02,212.19,210.27,211.36,91531012
2015/6/3 下午 4:00:00,212,212.67,211.33,211.92,87820909
2015/6/4 下午 4:00:00,211.07,211.86,209.75,210.13,151882820
2015/6/5 下午 4:00:00,209.95,210.58,208.98,209.77,121704676
2015/6/8 下午 4:00:00,209.64,209.82,208.39,208.48,89063330
2015/6/9 下午 4:00:00,208.45,209.1,207.69,208.45,105034690
2015/6/10 下午 4:00:00,209.37,211.41,209.3,210.95,134551285
2015/6/11 下午 4:00:00,211.48,212.09,211.2,211.63,73876447
2015/6/12 下午 4:00:00,210.64,211.48,209.68,210.01,135382369
2015/6/15 下午 4:00:00,208.64,209.45,207.79,209.11,124384184
2015/6/16 下午 4:00:00,208.93,210.35,208.72,210.25,85308227
2015/6/17 下午 4:00:00,210.59,211.32,209.36,210.59,126708635
2015/6/18 下午 4:00:00,211.31,213.34,210.63,212.78,165867949
2015/6/19 下午 4:00:00,211.46,211.55,210.36,210.81,130478689
2015/6/22 下午 4:00:00,211.91,212.59,211.64,211.89,70696027
2015/6/23 下午 4:00:00,212.14,212.44,211.57,212.04,68476797
2015/6/24 下午 4:00:00,211.72,212.17,210.47,210.5,92307318
2015/6/25 下午 4:00:00,211.1,211.25,209.77,209.86,97107361
2015/6/26 下午 4:00:00,210.29,210.58,209.16,209.82,104174840
2015/6/29 下午 4:00:00,208.05,209.83,205.33,205.42,202621332
2015/6/30 下午 4:00:00,207.26,207.32,205.28,205.85,182925106
2015/7/1 下午 4:00:00,207.73,208.03,206.56,207.5,135979873
2015/7/2 下午 4:00:00,208.07,208.27,206.81,207.31,104373652
2015/7/6 下午 4:00:00,205.77,207.65,205.53,206.72,117975369
2015/7/7 下午 4:00:00,206.96,208.17,204.11,208.02,173820249
2015/7/8 下午 4:00:00,206.42,206.76,204.25,204.53,164020059
2015/7/9 下午 4:00:00,207.04,207.35,204.77,204.9,144113107
2015/7/10 下午 4:00:00,207.29,207.98,204.95,207.48,129456890
2015/7/13 下午 4:00:00,208.99,209.9,208.94,209.77,106069400
2015/7/14 下午 4:00:00,209.72,211.05,209.65,210.68,81709575
2015/7/15 下午 4:00:00,210.73,211.28,210.04,210.61,97914141
2015/7/16 下午 4:00:00,211.87,212.3,211.58,212.3,106683266
2015/7/17 下午 4:00:00,212.29,212.55,211.8,212.48,89029973
2015/7/20 下午 4:00:00,212.75,213.18,212.21,212.59,70446821
2015/7/21 下午 4:00:00,212.43,212.74,211.39,211.75,77965048
2015/7/22 下午 4:00:00,210.93,211.77,210.89,211.37,88667920
2015/7/23 下午 4:00:00,211.53,211.65,209.75,210.18,90509128
2015/7/24 下午 4:00:00,210.3,210.37,207.6,208,117754979
2015/7/27 下午 4:00:00,206.94,207.55,206.26,206.79,132361082
2015/7/28 下午 4:00:00,207.79,209.5,206.8,209.33,123544845
